University ,Latitude,Longitude
FEDERAL UNIVERSITY OF PARAIBA,-7.137779,-34.845910
FEDERAL UNIVERSITY OF PERNAMBUCO,-8.051534,-34.950659
FEDERAL UNIVERSITY OF RIO GRANDE DO NORTE,-5.840695,-35.200587
FEDERAL UNIVERSITY OF RIO GRANDE DO SUL,-30.033235,-51.220726
FEDERAL UNIVERSITY OF SANTA MARIA,-29.721546,-53.718365
FEDERAL UNIVERSITY OF SAO CARLOS,-21.983857,-47.881554
FEDERAL UNIVERSITY OF UBERLANDIA,-18.918478,-48.258177
RIO DE JANEIRO STATE UNIVERSITY,-22.911170,-43.236133
STATE UNIVERSITY OF MARINGA,-23.404723,-51.939991
UNIVERSIDADE DE BRASILIA,-15.763152,-47.870632
UNIVERSIDADE ESTADUAL PAULISTA,-23.547915,-46.640952
UNIVERSIDADE FEDERAL DA BAHIA,-13.003673,-38.510013
UNIVERSIDADE FEDERAL DE GOIAS,-16.606214,-49.261469
UNIVERSIDADE FEDERAL DE MINAS GERAIS,-19.870677,-43.967736
UNIVERSIDADE FEDERAL DE SANTA CATARINA,-27.600066,-48.519427
UNIVERSIDADE FEDERAL DE SAO PAULO,-23.598126,-46.644743
UNIVERSIDADE FEDERAL DE VICOSA,-20.761063,-42.870165
UNIVERSIDADE FEDERAL DO CEARA,-3.741885,-38.539008
UNIVERSIDADE FEDERAL DO PARANA,-25.426911,-49.261773
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,-22.861712,-43.223408
UNIVERSIDADE FEDERAL FLUMINENSE,-22.904853,-43.131668
 UNIVERSITY OF CAMPINAS,-22.818451,-47.064721
UNIVERSITY OF SAO PAULO,-23.561402,-46.730809
