University,Sigla,Latitude,Longitude
FEDERAL UNIVERSITY OF MATO GROSSO,UFMT,-15.610368,-56.065128
FEDERAL UNIVERSITY OF LAVRAS,UFLA,-21.227692,-44.981185
FEDERAL UNIVERSITY OF PARAIBA,UFPB,-7.137779,-34.845910
FEDERAL UNIVERSITY OF PERNAMBUCO,UFPE,-8.051534,-34.950659
FEDERAL UNIVERSITY OF PARA            ,UFPA,-1.475975,-48.459322
FEDERAL UNIVERSITY OF PELOTAS         ,UFPEL,-31.781074,-52.323473
FEDERAL UNIVERSITY OF RIO GRANDE DO SUL ,UFRGS,-30.033235,-51.220726
FEDERAL UNIVERSITY OF RIO GRANDE DO NORTE,UFRN,-5.840695,-35.200587
FEDERAL UNIVERSITY OF SAO CARLOS,UFSCAR,-21.983857,-47.881554
FEDERAL UNIVERSITY OF SANTA MARIA  ,UFSM,-29.721546,-53.718365
LONDRINA STATE UNIVERSITY,UEL,-23.324185,-51.200353
FEDERAL UNIVERSITY OF UBERLANDIA,UFU,-18.918478,-48.258177
STATE UNIVERSITY OF MARINGA,UEM,-23.404723,-51.939991
RIO DE JANEIRO STATE UNIVERSITY,UERJ,-22.911170,-43.236133
UNIVERSIDADE ESTADUAL PAULISTA,UNESP,-23.547915,-46.640952
UNIVERSIDADE DE BRASILIA,UNB,-15.763152,-47.870632
UNIVERSIDADE FEDERAL DE GOIAS,UFG,-16.606214,-49.261469
UNIVERSIDADE FEDERAL DA BAHIA,UFBA,-13.003673,-38.510013
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,-21.776944,-43.368967
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,-19.870677,-43.967736
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,-27.600066,-48.519427
UNIVERSIDADE FEDERAL DE SAO PAULO,UNIFESP,-23.598126,-46.644743
UNIVERSIDADE FEDERAL DO CEARA,UFC,-3.741885,-38.539008
UNIVERSIDADE FEDERAL DE VICOSA,UFV,-20.761063,-42.870165
UNIVERSIDADE FEDERAL DO PARANA,UFPR,-25.426911,-49.261773
UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,UFES,-20.276902,-40.304674
UNIVERSIDADE FEDERAL FLUMINENSE,UFF,-22.904853,-43.131668
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,-22.861712,-43.223408
UNIVERSITY OF CAMPINAS,UNICAMP,-22.818451,-47.064721
UNIVERSITY OF SAO PAULO,USP,-23.561402,-46.730809
